number,category,prompt,example
58,Notes to Study Materials,Create a mnemonics illustration from these notes with memorable images linked to concepts that need memorization.,Input: Periodic table elements → Output: Visual story connecting images: 'Harry' (Hydrogen) 'Helps' (Helium)...
59,Notes to Study Materials,"Transform these notes into an exam preparation grid with topics, difficulty level, importance ranking, and status indicators.","Input: Study topics → Output: Grid with Topic, Stars for difficulty, Red/Yellow/Green for mastery, Checkbox for reviewed"
60,Notes to Study Materials,"Convert these notes into a visual glossary with terms in bold, definitions in simple language, and illustrative diagrams.","Input: Technical jargon → Output: 'API' in big letters, simple definition, diagram showing request/response arrows"
61,Business to Visual Strategy,Transform this business plan into a one-page business model canvas with all 9 building blocks clearly labeled and filled.,"Input: Startup business plan → Output: Canvas with Customer Segments, Value Prop, Channels, Revenue Streams sections filled"
62,Business to Visual Strategy,"Convert this strategy document into a SWOT analysis matrix with quadrants for Strengths, Weaknesses, Opportunities, Threats.","Input: Company analysis → Output: 2x2 grid with bullet points in each quadrant, color-coded internal vs external"
63,Business to Visual Strategy,"Turn this quarterly report into an executive dashboard with key metrics as large numbers, trend arrows, and mini charts.","Input: Financial report → Output: 'Revenue $2.5M' with up arrow, small line chart, '↑15% YoY' indicator"
64,Business to Visual Strategy,"Create a product roadmap from this plan with timeline, features as cards, and dependency connections between items.","Input: Product plan → Output: Horizontal timeline Q1-Q4, feature boxes placed above quarters, dotted lines for dependencies"
65,Business to Visual Strategy,"Transform this customer journey into a path with emotional states (happy/sad faces), touchpoints, and pain point markers.","Input: User experience notes → Output: Curved path with smiley at 'Discovery', sad face at 'Checkout', star at 'Delivery'"
66,Business to Visual Strategy,"Convert this org chart into a visual hierarchy with photos (or icons), names, titles, and reporting lines clearly shown.","Input: Company structure → Output: CEO at top, branching boxes below for VPs, managers, with connecting lines"
67,Business to Visual Strategy,"Turn this marketing funnel into a visual pipeline with stages, conversion percentages, and tactics at each level.","Input: Marketing plan → Output: Inverted triangle: Awareness (Social Ads) → Interest → Decision → Action, % conversions"
68,Business to Visual Strategy,Create a competitive positioning map from this analysis with two axes and competitors plotted as labeled bubbles.,"Input: Market research → Output: Grid: X-axis 'Price', Y-axis 'Quality', competitor circles sized by market share"
69,Business to Visual Strategy,"Transform this value chain into a horizontal process flow with primary activities at bottom, support activities at top.","Input: Operations doc → Output: Arrows showing Inbound → Operations → Outbound → Marketing → Service, support above"
70,Business to Visual Strategy,"Convert this pitch deck into a single visual pitch with problem, solution, market size, traction, and ask as connected elements.",Input: 15-slide deck → Output: One page with Problem box → Solution → Market pie chart → Traction graph → Ask $
71,Science to Illustrations,"Transform this biology process into a detailed cellular diagram with organelles labeled, zoomed inset views, and color-coded functions.","Input: Cell respiration text → Output: Cell diagram with mitochondria zoomed, ATP molecules, glucose → energy arrows"
72,Science to Illustrations,"Convert this chemistry reaction into a molecular visualization with atoms as colored spheres, bonds as sticks, before/after states.","Input: Chemical equation → Output: Left: H2O molecules, Right: H2 + O2, color-coded atoms, broken/formed bonds shown"
73,Science to Illustrations,"Turn this physics concept into a force diagram with objects, force vectors as arrows, angle measurements, and result motion.","Input: Newton's laws text → Output: Box on incline, gravity arrow down, normal force up, friction left, motion vectors"
74,Science to Illustrations,"Create an astronomy diagram from this description with orbits, relative sizes, distances to scale, and labels with facts.","Input: Solar system info → Output: Sun and planets to scale, orbital paths, distance measurements, quick facts bubbles"
75,Science to Illustrations,"Transform this geological process into a cross-section diagram showing layers, time periods, and formation processes.","Input: Rock cycle description → Output: Underground cross-section with sedimentary, metamorphic, igneous layers, arrows showing transformations"
76,Science to Illustrations,"Convert this anatomy description into a labeled diagram with systems color-coded, key organs highlighted, and function callouts.","Input: Digestive system text → Output: Body outline with stomach, intestines, liver in colors, 'breaks down food' callouts"
77,Science to Illustrations,"Turn this experiment procedure into a visual lab setup with equipment illustrations, step numbers, safety warnings, and results.","Input: Chemistry experiment → Output: Beaker, burner, test tube illustrations, numbered steps, '⚠️ Wear goggles' warning"
78,Science to Illustrations,"Create an ecosystem web from this ecological description with organisms, energy flow arrows, and trophic level indicators.","Input: Food web text → Output: Sun at top, plants, herbivores, carnivores connected with 'eats' arrows, energy percentages"
79,Science to Illustrations,"Transform this weather pattern into a meteorological diagram with pressure systems, fronts, wind arrows, and cloud types.","Input: Hurricane formation text → Output: Circular storm structure, low pressure center, wind spirals, warm/cold air masses"
80,Science to Illustrations,"Convert this evolutionary tree into a phylogenetic diagram with branching points, time scale, and key evolutionary innovations.","Input: Species evolution text → Output: Tree with trunk at bottom (ancestor), branches for species, innovation markers"
81,Math to Visual Proofs,"Transform this mathematical proof into a visual demonstration with geometric shapes, algebraic steps, and color-coded equivalences.","Input: Pythagorean theorem proof → Output: Right triangle with squares on each side, area calculations shown, a²+b²=c² highlighted"
82,Math to Visual Proofs,"Convert this calculus concept into an animated-looking diagram showing function curve, tangent line, and limit approaching.","Input: Derivative definition → Output: Curve with secant line becoming tangent, Δx→0 annotation, slope calculation"
83,Math to Visual Proofs,"Turn this statistics concept into a distribution visualization with normal curve, shaded regions, and probability annotations.","Input: Standard deviation text → Output: Bell curve with σ intervals marked, 68-95-99.7 rule percentages shaded"
84,Math to Visual Proofs,"Create a number line illustration from this inequality with shaded regions, boundary points, and test points marked.","Input: Inequality solution → Output: Number line with open/closed circles, shaded region, test points with check/x marks"
85,Math to Visual Proofs,"Transform this trigonometry concept into a unit circle diagram with angles, coordinates, and sine/cosine wave projections.","Input: Trig functions text → Output: Unit circle with angle θ, (cos θ, sin θ) marked, sine wave graph below"
86,Math to Visual Proofs,Convert this matrix operation into a visual grid transformation showing before/after states with arrow indicating transformation.,"Input: Matrix multiplication → Output: Left: 2x2 grid, Right: transformed grid, rotation/scaling arrows between"
87,Math to Visual Proofs,"Turn this set theory concept into a Venn diagram with unions, intersections, complements clearly shaded and labeled.","Input: Set operations text → Output: Overlapping circles with A∪B shaded, A∩B hatched, labels with element counts"
88,Math to Visual Proofs,"Create a graph theory visualization from this description with vertices as circles, edges as lines, and properties annotated.","Input: Graph algorithm → Output: Network of connected nodes, shortest path highlighted in red, edge weights labeled"
89,Math to Visual Proofs,Transform this geometric construction into step-by-step compass-and-straightedge diagrams with construction arcs visible.,"Input: Angle bisector construction → Output: Step 1: Draw arcs, Step 2: Connect intersections, final bisector in bold"
90,Math to Visual Proofs,"Convert this probability problem into a tree diagram with branches for outcomes, probabilities on edges, and final calculations.","Input: Conditional probability → Output: Tree with branches for events, P(A), P(B|A) on edges, final probabilities at leaves"
91,Technical Docs to Tutorials,"Transform this API documentation into a visual quick-start guide with code snippets, expected responses, and common error solutions.","Input: REST API docs → Output: 'GET /users' box with curl command, 200 response example, 404 error troubleshooting"
92,Technical Docs to Tutorials,"Convert this installation guide into a visual step-by-step wizard with screenshots, command blocks, and success checkmarks.","Input: Software install instructions → Output: Screen 1 with download button, Screen 2 with install wizard, checkmark at end"
93,Technical Docs to Tutorials,Turn this configuration file into an annotated version with comment bubbles explaining each section and example values.,"Input: YAML config → Output: Config lines with arrow callouts: 'This sets port', 'Change this for prod', example values"
94,Technical Docs to Tutorials,"Create a troubleshooting decision tree from this support doc with questions, yes/no branches, and solution leaf nodes.",Input: Error troubleshooting guide → Output: Diamond: 'Error code 500?' → Yes: 'Check logs' → No: 'Check network'
95,Technical Docs to Tutorials,"Transform this CLI reference into a cheat sheet with command syntax, option flags, and usage examples in organized boxes.","Input: Git commands → Output: 'git commit -m' syntax, flag descriptions in table, example: git commit -m 'Fix bug'"
96,Technical Docs to Tutorials,"Convert this database schema into an ER diagram with tables, columns, primary keys, foreign keys, and relationships.","Input: SQL CREATE statements → Output: Table boxes with PK underlined, FK with arrows to referenced tables"
97,Technical Docs to Tutorials,"Turn this security best practices doc into a checklist poster with icons, priority indicators, and quick action items.","Input: Security guidelines → Output: Checkbox list with shield icons, 🔴 High priority items first, action verbs"
98,Technical Docs to Tutorials,"Create a deployment pipeline visualization from this DevOps doc with stages, tools used, and automated checks at each step.","Input: CI/CD documentation → Output: Pipeline: Code → Build → Test → Deploy, tool icons at each stage, success/fail paths"
99,Technical Docs to Tutorials,Transform this architecture decision record into a comparison matrix with options evaluated against criteria with scores.,"Input: Tech stack decision doc → Output: Table: React vs Vue vs Angular rows, Performance/Community/Learning columns, scores"
100,Technical Docs to Tutorials,"Convert this onboarding document into a visual first-day journey map with timeline, tasks, people to meet, and resources.","Input: New hire guide → Output: 9am: Setup laptop, 10am: Meet team (faces), 11am: First task, links to resources"
101,Articles to Social Media,"Transform this blog post into an Instagram carousel with 10 slides: cover slide with title, key points on subsequent slides, call-to-action at end.","Input: '10 Python Tips' article → Output: Slide 1: Bold title + author, Slides 2-11: One tip per slide with code, Slide 12: Follow CTA"
102,Articles to Social Media,"Convert this article into a Twitter/X thread format with numbered tweets, each under 280 characters, images for key data points.","Input: Long-form article → Output: 1/10 thread with hook, subsequent tweets numbered, chart image in tweet 5, conclusion in 10/10"
103,Articles to Social Media,"Turn this article into a LinkedIn post visual with key takeaway as large text, supporting bullets, and professional imagery.","Input: Industry analysis article → Output: '3 Key Trends in AI' as header, 3 bullet points, corporate background image"
104,Articles to Social Media,"Create a Pinterest pin from this how-to article with vertical layout, numbered steps, before/after images, and bold title at top.","Input: DIY tutorial → Output: Tall vertical graphic with title, Step 1-5 with mini images, 'Save for later' CTA"
105,Articles to Social Media,"Transform this article into a YouTube thumbnail concept with eye-catching text, relevant image, and contrasting colors.","Input: Tech review article → Output: Split screen: product image left, 'Is it worth it?' text right, bright colors"
106,Articles to Social Media,"Convert this list article into a TikTok/Reel script visual with on-screen text overlays, transition points, and hook at start.","Input: '5 Productivity Hacks' → Output: Frame 1: 'You're doing it wrong', Frame 2-6: Each hack with visual example"
107,Articles to Social Media,"Turn this article into a Facebook/Meta post visual with compelling question as headline, preview of answer, and link prompt.","Input: Informative article → Output: 'Did you know...?' headline, teaser fact, 'Read more at link' button"
108,Articles to Social Media,Create a quote card from this article highlighting the most shareable insight with attribution and branded styling.,"Input: Opinion piece → Output: Large quotation marks, key quote in center, author name, minimalist background"
109,Articles to Social Media,"Transform this article stats into a data visualization post with bold numbers, comparisons, and context.","Input: Survey results article → Output: '87% of developers' in huge text, comparison to previous year, source at bottom"
110,Articles to Social Media,"Convert this article into a meme format (if appropriate) with relatable situation in top panel, punchline in bottom panel.","Input: Coding struggles article → Output: Top: 'Code works first try', Bottom: 'Suspiciously checks for bugs' with reaction image"
111,Meetings to Action Items,"Transform these meeting notes into a visual action items board with owner avatars, due dates, priority flags, and status indicators.","Input: Meeting transcript → Output: Kanban board with 'To Do', 'In Progress', 'Done' columns, cards with assignee photos"
112,Meetings to Action Items,"Convert this meeting discussion into a decision log with what was decided, rationale, alternatives considered, and next steps.","Input: Strategy meeting notes → Output: Table: Decision, Why, Alternatives, Action Items columns filled in"
113,Meetings to Action Items,"Turn this brainstorm session into a prioritization matrix with ideas plotted by impact vs effort, color-coded by feasibility.",Input: Innovation meeting notes → Output: 2x2: High Impact/Low Effort (do first) to Low Impact/High Effort (avoid)
114,Meetings to Action Items,"Create a stakeholder communication plan from this meeting with audiences, messages, channels, and timing.","Input: Launch meeting notes → Output: Table with Stakeholder, Key Message, Medium, Date columns for each group"
115,Meetings to Action Items,"Transform meeting outcomes into a RACI matrix showing who is Responsible, Accountable, Consulted, Informed for each action.","Input: Project kickoff notes → Output: Grid with tasks as rows, team members as columns, R/A/C/I in cells"
116,Meetings to Action Items,"Convert this requirements discussion into a user story map with epics across top, user stories below, and priorities indicated.","Input: Product meeting notes → Output: Swim lanes for epics, story cards below ordered by priority, MVP marked"
117,Meetings to Action Items,Turn this retrospective into a start/stop/continue board with sticky notes grouped by category and vote dots for priorities.,"Input: Retro notes → Output: 3 columns with colored sticky notes, dot voting counts, action items circled"
118,Meetings to Action Items,"Create a risk register from this project meeting with identified risks, probability, impact, mitigation strategies, and owners.","Input: Risk discussion notes → Output: Table: Risk, Likelihood (H/M/L), Impact (H/M/L), Mitigation, Owner"
119,Meetings to Action Items,"Transform this quarterly planning into a Gantt chart view with initiatives as bars, dependencies, and milestones marked.","Input: Planning meeting notes → Output: Timeline bars for each project, diamonds for milestones, arrows for dependencies"
120,Meetings to Action Items,Convert this stakeholder meeting into an impact/influence grid with stakeholders positioned and engagement strategies noted.,"Input: Stakeholder analysis notes → Output: 2x2 matrix: High/Low Power vs Interest, stakeholders placed, strategy for each quadrant"
